,Precinct,State Code,Count,State Name
443,17.0,OH,37,Ohio
444,17.0,OK,145,Oklahoma
445,17.0,OR,43,Oregon
446,17.0,PA,434,Pennsylvania
447,17.0,RI,12,Rhode Island
448,17.0,SC,11,South Carolina
449,17.0,SD,2,South Dakota
450,17.0,TN,23,Tennessee
451,17.0,TX,174,Texas
452,17.0,UT,1,Utah
453,17.0,VA,91,Virginia
454,17.0,VT,14,Vermont
455,17.0,WA,3,Washington
456,17.0,WI,13,Wisconsin
457,17.0,WV,4,West Virginia
458,18.0,AK,2,Alaska
459,18.0,AL,26,Alabama
460,18.0,AR,5,Arkansas
461,18.0,AZ,75,Arizona
462,18.0,CA,34,California
463,18.0,CO,3,Colorado
464,18.0,CT,458,Connecticut
465,18.0,DC,9,District of Columbia
466,18.0,DE,29,Delaware
467,18.0,FL,226,Florida
468,18.0,GA,42,Georgia
469,18.0,IA,13,Iowa
470,18.0,ID,11,Idaho
471,18.0,IL,161,Illinois
472,18.0,IN,1074,Indiana
473,18.0,KS,1,Kansas
474,18.0,KY,18,Kentucky
475,18.0,LA,6,Louisiana
476,18.0,MA,268,Massachusetts
477,18.0,MD,141,Maryland
478,18.0,ME,34,Maine
479,18.0,MI,75,Michigan
480,18.0,MN,349,Minnesota
481,18.0,MO,27,Missouri
482,18.0,MS,11,Mississippi
483,18.0,NC,116,North Carolina
484,18.0,ND,4,North Dakota
485,18.0,NE,3,Nebraska
486,18.0,NH,12,New Hampshire
487,18.0,NJ,8037,New Jersey
488,18.0,NM,16,New Mexico
489,18.0,NV,10,Nevada
490,18.0,NY,22510,New York
491,18.0,OH,89,Ohio
492,18.0,OK,130,Oklahoma
493,18.0,OR,81,Oregon
494,18.0,PA,774,Pennsylvania
495,18.0,PR,1,Puerto Rico
496,18.0,RI,36,Rhode Island
497,18.0,SC,28,South Carolina
498,18.0,TN,54,Tennessee
499,18.0,TX,250,Texas
500,18.0,UT,1,Utah
501,18.0,VA,178,Virginia
502,18.0,VT,18,Vermont
503,18.0,WA,8,Washington
504,18.0,WI,19,Wisconsin
505,18.0,WV,4,West Virginia
506,18.0,WY,1,Wyoming
507,19.0,AK,2,Alaska
508,19.0,AL,8,Alabama
509,19.0,AR,27,Arkansas
510,19.0,AZ,185,Arizona
511,19.0,CA,63,California
512,19.0,CO,20,Colorado
513,19.0,CT,947,Connecticut
514,19.0,DC,11,District of Columbia
515,19.0,DE,48,Delaware
516,19.0,FL,462,Florida
517,19.0,GA,71,Georgia
518,19.0,HI,6,Hawaii
519,19.0,IA,27,Iowa
520,19.0,ID,20,Idaho
521,19.0,IL,119,Illinois
522,19.0,IN,594,Indiana
523,19.0,KS,6,Kansas
524,19.0,KY,21,Kentucky
525,19.0,LA,10,Louisiana
526,19.0,MA,371,Massachusetts
527,19.0,MD,187,Maryland
528,19.0,ME,23,Maine
529,19.0,MI,70,Michigan
530,19.0,MN,69,Minnesota
531,19.0,MO,11,Missouri
532,19.0,MS,12,Mississippi
533,19.0,MT,2,Montana
534,19.0,NC,153,North Carolina
535,19.0,ND,3,North Dakota
536,19.0,NE,6,Nebraska
537,19.0,NH,31,New Hampshire
538,19.0,NJ,7280,New Jersey
539,19.0,NM,38,New Mexico
540,19.0,NV,20,Nevada
541,19.0,NY,39137,New York
542,19.0,OH,84,Ohio
543,19.0,OK,181,Oklahoma
544,19.0,OR,27,Oregon
545,19.0,PA,903,Pennsylvania
546,19.0,PR,2,Puerto Rico
547,19.0,RI,49,Rhode Island
548,19.0,SC,60,South Carolina
549,19.0,SD,4,South Dakota
550,19.0,TN,50,Tennessee
551,19.0,TX,101,Texas
552,19.0,UT,5,Utah
553,19.0,VA,224,Virginia
554,19.0,VT,33,Vermont
555,19.0,WA,11,Washington
556,19.0,WI,11,Wisconsin
557,19.0,WV,7,West Virginia
558,19.0,WY,3,Wyoming
559,20.0,AL,6,Alabama
560,20.0,AR,3,Arkansas
561,20.0,AZ,40,Arizona
562,20.0,CA,38,California
563,20.0,CO,8,Colorado
564,20.0,CT,387,Connecticut
565,20.0,DC,11,District of Columbia
566,20.0,DE,13,Delaware
567,20.0,FL,176,Florida
568,20.0,GA,31,Georgia
569,20.0,IA,7,Iowa
570,20.0,ID,8,Idaho
571,20.0,IL,52,Illinois
572,20.0,IN,157,Indiana
573,20.0,KS,1,Kansas
574,20.0,KY,6,Kentucky
575,20.0,LA,8,Louisiana
576,20.0,MA,181,Massachusetts
577,20.0,MD,91,Maryland
578,20.0,ME,15,Maine
579,20.0,MI,44,Michigan
580,20.0,MN,38,Minnesota
581,20.0,MO,12,Missouri
582,20.0,MS,6,Mississippi
583,20.0,MT,2,Montana
584,20.0,NC,50,North Carolina
585,20.0,ND,1,North Dakota
586,20.0,NE,3,Nebraska
587,20.0,NH,18,New Hampshire
588,20.0,NJ,3036,New Jersey
589,20.0,NM,12,New Mexico
590,20.0,NV,5,Nevada
591,20.0,NY,13311,New York
592,20.0,OH,61,Ohio
593,20.0,OK,49,Oklahoma
594,20.0,OR,6,Oregon
595,20.0,PA,411,Pennsylvania
596,20.0,RI,21,Rhode Island
597,20.0,SC,14,South Carolina
598,20.0,TN,34,Tennessee
599,20.0,TX,36,Texas
600,20.0,UT,1,Utah
601,20.0,VA,127,Virginia
602,20.0,VT,24,Vermont
603,20.0,WA,7,Washington
604,20.0,WI,5,Wisconsin
605,20.0,WV,2,West Virginia
607,22.0,FL,1,Florida
608,22.0,MD,1,Maryland
609,22.0,NJ,9,New Jersey
610,22.0,NY,37,New York
611,22.0,PA,1,Pennsylvania
612,22.0,VA,1,Virginia
613,23.0,AK,2,Alaska
614,23.0,AL,2,Alabama
615,23.0,AR,6,Arkansas
616,23.0,AZ,15,Arizona
617,23.0,CA,14,California
618,23.0,CT,174,Connecticut
619,23.0,DC,3,District of Columbia
620,23.0,DE,13,Delaware
621,23.0,FL,96,Florida
622,23.0,GA,42,Georgia
623,23.0,IA,4,Iowa
624,23.0,ID,5,Idaho
625,23.0,IL,31,Illinois
626,23.0,IN,64,Indiana
627,23.0,KY,7,Kentucky
628,23.0,LA,3,Louisiana
629,23.0,MA,80,Massachusetts
630,23.0,MD,56,Maryland
631,23.0,ME,10,Maine
632,23.0,MI,21,Michigan
633,23.0,MN,5,Minnesota
634,23.0,MO,1,Missouri
635,23.0,MS,4,Mississippi
636,23.0,NC,64,North Carolina
637,23.0,NH,7,New Hampshire
638,23.0,NJ,1120,New Jersey
639,23.0,NM,6,New Mexico
640,23.0,NV,2,Nevada
641,23.0,NY,7416,New York
642,23.0,OH,20,Ohio
643,23.0,OK,9,Oklahoma
644,23.0,OR,1,Oregon
645,23.0,PA,257,Pennsylvania
646,23.0,RI,17,Rhode Island
647,23.0,SC,32,South Carolina
648,23.0,SD,1,South Dakota
649,23.0,TN,6,Tennessee
650,23.0,TX,26,Texas
651,23.0,UT,1,Utah
652,23.0,VA,95,Virginia
653,23.0,VT,7,Vermont
654,23.0,WA,2,Washington
655,23.0,WI,3,Wisconsin
656,23.0,WV,1,West Virginia
657,24.0,AK,2,Alaska
658,24.0,AL,14,Alabama
659,24.0,AR,6,Arkansas
